fold,acc,f1,prec,rec
1,0.899671052631579,0.8994046358898679,0.9051611428511627,0.899671052631579
2,0.756578947368421,0.7563031105855006,0.787057197954884,0.756578947368421
3,0.8782894736842105,0.878659748502918,0.8951650474148337,0.8782894736842105
4,0.48519736842105265,0.44161727826462294,0.567292910859447,0.48519736842105265
5,0.8338815789473685,0.8322324893308697,0.8641557743640297,0.8338815789473684
