fold,acc,f1,prec,rec
1,0.9177631578947368,0.9182526248817616,0.9235830368270693,0.9177631578947368
2,0.9276315789473685,0.9283582997918112,0.9332850637562372,0.9276315789473685
3,0.912828947368421,0.9109464885681379,0.9160853724609863,0.9128289473684211
4,0.9243421052631579,0.9248954194401624,0.9276565261785161,0.924342105263158
5,0.9210526315789473,0.9224654029124025,0.928428432344095,0.9210526315789473
