feature,mean_acc,std_acc,mean_f1_macro,std_f1_macro
mfcc,0.8631578947368421,0.06744945270615699,0.8640511610795187,0.06639562485649649
mel,0.9207236842105264,0.005138322155201765,0.9209836471188553,0.006001434815174293
concat,0.7707236842105264,0.15093845974041495,0.7616434525147557,0.16739118300999303
